user_id,user_url,funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis,posted_year
76561198070194565,http://steamcommunity.com/profiles/76561198070194565,17 people found this review funny,2015-02-17,,220200,28 of 31 people (90%) found this review helpful,True,2,2015
Rivtex,http://steamcommunity.com/id/Rivtex,,2014-06-07,"Last edited December 28, 2014.",211820,No ratings yet,True,2,2014
UTNerd24,http://steamcommunity.com/id/UTNerd24,,2014-02-12,,440,6 of 9 people (67%) found this review helpful,True,2,2014
sandwiches1,http://steamcommunity.com/id/sandwiches1,,2014-02-09,,218740,0 of 1 people (0%) found this review helpful,True,1,2014
76561198138053270,http://steamcommunity.com/profiles/76561198138053270,,2015-10-31,,550,No ratings yet,True,2,2015
Life-Of-Blu,http://steamcommunity.com/id/Life-Of-Blu,,2015-02-04,,238090,1 of 2 people (50%) found this review helpful,True,2,2015
76561198075895633,http://steamcommunity.com/profiles/76561198075895633,,2014-04-05,,277430,No ratings yet,True,2,2014
TheDropix101,http://steamcommunity.com/id/TheDropix101,,2015-01-08,,8870,2 of 2 people (100%) found this review helpful,True,1,2015
kube134,http://steamcommunity.com/id/kube134,,2015-10-26,,368230,3 of 5 people (60%) found this review helpful,True,0,2015
MainScout,http://steamcommunity.com/id/MainScout,,2013-03-20,,33930,No ratings yet,True,2,2013
gdxsd,http://steamcommunity.com/id/gdxsd,,2015-12-28,,359320,4 of 5 people (80%) found this review helpful,False,0,2015
yookobz,http://steamcommunity.com/id/yookobz,2 people found this review funny,2015-05-19,,219640,1 of 5 people (20%) found this review helpful,True,2,2015
Posiblydead,http://steamcommunity.com/id/Posiblydead,,2015-12-15,,287980,No ratings yet,True,2,2015
76561198102421718,http://steamcommunity.com/profiles/76561198102421718,,2015-08-21,,208090,No ratings yet,True,1,2015
76561198087407319,http://steamcommunity.com/profiles/76561198087407319,1 person found this review funny,2014-10-17,,242700,No ratings yet,True,1,2014
76561198056741844,http://steamcommunity.com/profiles/76561198056741844,,2014-06-27,,570,No ratings yet,False,1,2014
sad-commie,http://steamcommunity.com/id/sad-commie,,2014-04-28,,224260,No ratings yet,True,1,2014
76561198030567998,http://steamcommunity.com/profiles/76561198030567998,,2015-11-12,,221100,0 of 8 people (0%) found this review helpful,True,2,2015
76561198010674657,http://steamcommunity.com/profiles/76561198010674657,,2014-06-18,,570,No ratings yet,True,0,2014
Coldaniel,http://steamcommunity.com/id/Coldaniel,,2014-11-20,,331470,27 of 41 people (66%) found this review helpful,True,2,2014
therealmorty,http://steamcommunity.com/id/therealmorty,,2014-05-29,,4000,8 of 10 people (80%) found this review helpful,True,2,2014
76561198061730629,http://steamcommunity.com/profiles/76561198061730629,,2014-12-29,,304930,No ratings yet,True,2,2014
YoHuNz,http://steamcommunity.com/id/YoHuNz,,2015-02-13,,12210,No ratings yet,True,2,2015
possessioniskey,http://steamcommunity.com/id/possessioniskey,,2014-12-26,,265210,No ratings yet,True,1,2014
76561198093112529,http://steamcommunity.com/profiles/76561198093112529,,2014-02-04,,48700,No ratings yet,True,2,2014
sergarino,http://steamcommunity.com/id/sergarino,,2015-05-21,,730,0 of 1 people (0%) found this review helpful,True,2,2015
76561198081962345,http://steamcommunity.com/profiles/76561198081962345,,2013-12-06,,113200,No ratings yet,True,0,2013
76561198094224872,http://steamcommunity.com/profiles/76561198094224872,,2014-05-12,,440,4 of 4 people (100%) found this review helpful,True,1,2014
76561198073210139,http://steamcommunity.com/profiles/76561198073210139,,2015-08-24,,383080,4 of 7 people (57%) found this review helpful,False,1,2015
Nozomikat,http://steamcommunity.com/id/Nozomikat,,2015-01-06,,213670,No ratings yet,True,1,2015
xfluttersx,http://steamcommunity.com/id/xfluttersx,,2015-12-22,,105600,No ratings yet,True,0,2015
76561198056290589,http://steamcommunity.com/profiles/76561198056290589,,2015-06-23,Last edited April 4.,730,1 of 1 people (100%) found this review helpful,True,1,2015
ii_voltage_ii,http://steamcommunity.com/id/ii_voltage_ii,,2015-09-11,Last edited June 23.,570,No ratings yet,True,2,2015
76561198097762318,http://steamcommunity.com/profiles/76561198097762318,,2013-04-22,,231180,No ratings yet,True,2,2013
Hirukaz,http://steamcommunity.com/id/Hirukaz,,2012-05-27,,620,No ratings yet,True,2,2012
kevinator23,http://steamcommunity.com/id/kevinator23,1 person found this review funny,2015-12-05,,223710,No ratings yet,True,1,2015
76561198090715178,http://steamcommunity.com/profiles/76561198090715178,,2015-10-04,,299360,No ratings yet,True,1,2015
CatsWhale,http://steamcommunity.com/id/CatsWhale,,2015-10-03,"Last edited October 4, 2015.",322330,No ratings yet,True,2,2015
76561198073784601,http://steamcommunity.com/profiles/76561198073784601,,2015-08-13,,1250,No ratings yet,True,1,2015
mimimomoma,http://steamcommunity.com/id/mimimomoma,,2015-02-22,,12100,No ratings yet,True,1,2015
76561198102410011,http://steamcommunity.com/profiles/76561198102410011,,2015-01-14,,204360,No ratings yet,True,2,2015
de_Butl3r,http://steamcommunity.com/id/de_Butl3r,,2013-12-14,,440,No ratings yet,True,0,2013
76561198027947401,http://steamcommunity.com/profiles/76561198027947401,,2013-12-01,,224260,No ratings yet,True,2,2013
Bluezap1,http://steamcommunity.com/id/Bluezap1,,2012-02-11,,440,No ratings yet,True,2,2012
jonasdbomb,http://steamcommunity.com/id/jonasdbomb,,2015-03-12,,440,1 of 1 people (100%) found this review helpful,True,2,2015
L1J1N,http://steamcommunity.com/id/L1J1N,,2015-10-14,,1840,3 of 6 people (50%) found this review helpful,True,1,2015
Lord_Exploit,http://steamcommunity.com/id/Lord_Exploit,,2013-10-27,,440,1 of 1 people (100%) found this review helpful,True,2,2013
AVATAR715,http://steamcommunity.com/id/AVATAR715,,2015-11-27,"Last edited November 27, 2015.",440,1 of 1 people (100%) found this review helpful,True,2,2015
YieuwMage,http://steamcommunity.com/id/YieuwMage,,2014-10-09,,233250,0 of 11 people (0%) found this review helpful,True,1,2014
76561198065656175,http://steamcommunity.com/profiles/76561198065656175,,2015-11-09,,248570,No ratings yet,True,1,2015
76561198188979775,http://steamcommunity.com/profiles/76561198188979775,,2015-12-23,,298630,0 of 1 people (0%) found this review helpful,True,1,2015
97396295,http://steamcommunity.com/id/97396295,,2014-05-06,,244210,1 of 1 people (100%) found this review helpful,True,0,2014
76561198126640317,http://steamcommunity.com/profiles/76561198126640317,2 people found this review funny,2015-12-02,,440,1 of 2 people (50%) found this review helpful,True,0,2015
DemonicWolvz,http://steamcommunity.com/id/DemonicWolvz,2 people found this review funny,2015-06-06,,376920,13 of 27 people (48%) found this review helpful,True,2,2015
DieMadchenschanderin,http://steamcommunity.com/id/DieMadchenschanderin,,2015-09-29,,257750,No ratings yet,True,1,2015
GGargula,http://steamcommunity.com/id/GGargula,,2014-09-08,,221910,No ratings yet,True,0,2014
Myther43,http://steamcommunity.com/id/Myther43,,2013-12-15,,2280,No ratings yet,True,2,2013
getf0kinn0sc0pedm9,http://steamcommunity.com/id/getf0kinn0sc0pedm9,,2015-11-23,,417860,No ratings yet,False,1,2015
76561198141443390,http://steamcommunity.com/profiles/76561198141443390,,2014-06-01,,218620,No ratings yet,True,2,2014
76561198097333029,http://steamcommunity.com/profiles/76561198097333029,,2014-07-11,,218620,2 of 3 people (67%) found this review helpful,True,2,2014
whodafuqisthisguilao,http://steamcommunity.com/id/whodafuqisthisguilao,,2014-11-14,,222880,1 of 2 people (50%) found this review helpful,True,1,2014
Magjiikal,http://steamcommunity.com/id/Magjiikal,,2015-11-13,,377160,1 of 5 people (20%) found this review helpful,True,2,2015
ohnospaghet,http://steamcommunity.com/id/ohnospaghet,,2013-12-15,,211820,No ratings yet,True,2,2013
76561198050347115,http://steamcommunity.com/profiles/76561198050347115,1 person found this review funny,2015-12-17,,252490,No ratings yet,True,2,2015
2768820078,http://steamcommunity.com/id/2768820078,,2014-10-26,,440,1 of 1 people (100%) found this review helpful,True,2,2014
2d4nk4m3,http://steamcommunity.com/id/2d4nk4m3,,2014-06-28,,251990,1 of 1 people (100%) found this review helpful,True,2,2014
76561198078478151,http://steamcommunity.com/profiles/76561198078478151,,2015-09-12,,344760,3 of 4 people (75%) found this review helpful,False,0,2015
exiaez,http://steamcommunity.com/id/exiaez,,2015-09-13,,252950,1 of 1 people (100%) found this review helpful,True,1,2015
EizanAratoFujimaki,http://steamcommunity.com/id/EizanAratoFujimaki,,2015-10-14,,399730,No ratings yet,True,2,2015
washington_,http://steamcommunity.com/id/washington_,,2015-11-19,,377160,1 of 3 people (33%) found this review helpful,True,2,2015
jewxxl,http://steamcommunity.com/id/jewxxl,,2013-06-25,"Last edited March 2, 2014.",219150,No ratings yet,True,2,2013
76561198088944293,http://steamcommunity.com/profiles/76561198088944293,,2014-04-11,"Last edited June 24, 2014.",277430,No ratings yet,True,2,2014
76561198092540221,http://steamcommunity.com/profiles/76561198092540221,,2014-02-22,,239820,No ratings yet,True,2,2014
76561198051258119,http://steamcommunity.com/profiles/76561198051258119,,2012-09-24,"Last edited November 26, 2013.",17410,No ratings yet,True,2,2012
nubquake123,http://steamcommunity.com/id/nubquake123,,2015-09-26,,440,1 of 1 people (100%) found this review helpful,True,2,2015
Pyromanic,http://steamcommunity.com/id/Pyromanic,,2015-06-12,,270550,1 of 2 people (50%) found this review helpful,True,2,2015
76561198109656922,http://steamcommunity.com/profiles/76561198109656922,,2015-08-03,,274940,0 of 1 people (0%) found this review helpful,True,2,2015
CobRazor,http://steamcommunity.com/id/CobRazor,1 person found this review funny,2015-06-26,,333930,0 of 2 people (0%) found this review helpful,True,0,2015
relesprit,http://steamcommunity.com/id/relesprit,,2014-01-15,,440,1 of 1 people (100%) found this review helpful,True,0,2014
WitchHunter4542,http://steamcommunity.com/id/WitchHunter4542,,2014-10-14,,730,2 of 3 people (67%) found this review helpful,True,1,2014
wantmahbody,http://steamcommunity.com/id/wantmahbody,,2014-07-09,,212070,3 of 5 people (60%) found this review helpful,True,2,2014
76561198115868847,http://steamcommunity.com/profiles/76561198115868847,,2014-03-13,,264140,No ratings yet,True,2,2014
benedictcuminherbatch,http://steamcommunity.com/id/benedictcuminherbatch,2 people found this review funny,2014-11-11,,332800,194 of 282 people (69%) found this review helpful,True,1,2014
76561198031207016,http://steamcommunity.com/profiles/76561198031207016,,2015-07-21,,319630,1 of 2 people (50%) found this review helpful,True,2,2015
76561198043458582,http://steamcommunity.com/profiles/76561198043458582,,2015-07-05,,6020,No ratings yet,True,1,2015
smashiroshh,http://steamcommunity.com/id/smashiroshh,,2015-03-12,,55230,No ratings yet,True,2,2015
shark854,http://steamcommunity.com/id/shark854,,2014-02-23,,32430,No ratings yet,True,2,2014
1337lolroflmao,http://steamcommunity.com/id/1337lolroflmao,,2015-03-22,,35450,1 of 1 people (100%) found this review helpful,True,2,2015
sithjjf,http://steamcommunity.com/id/sithjjf,,2014-08-21,,440,1 of 1 people (100%) found this review helpful,True,2,2014
76561198060039459,http://steamcommunity.com/profiles/76561198060039459,,2015-03-13,,236390,2 of 5 people (40%) found this review helpful,True,2,2015
OzfurAtlas,http://steamcommunity.com/id/OzfurAtlas,,2015-03-20,,351570,No ratings yet,True,2,2015
76561198065593074,http://steamcommunity.com/profiles/76561198065593074,,2015-03-07,,212680,No ratings yet,True,0,2015
76561198044169764,http://steamcommunity.com/profiles/76561198044169764,,2015-10-10,,391540,2 of 3 people (67%) found this review helpful,True,1,2015
euzi,http://steamcommunity.com/id/euzi,,2014-07-06,,550,0 of 1 people (0%) found this review helpful,True,2,2014
76561198074935997,http://steamcommunity.com/profiles/76561198074935997,,2014-06-19,,440,1 of 1 people (100%) found this review helpful,True,1,2014
76561197961778802,http://steamcommunity.com/profiles/76561197961778802,,2014-02-19,,570,1 of 1 people (100%) found this review helpful,True,1,2014
lucasrash,http://steamcommunity.com/id/lucasrash,,2015-04-11,,72850,1 of 1 people (100%) found this review helpful,True,2,2015
76561198016602703,http://steamcommunity.com/profiles/76561198016602703,,2015-12-24,,440,No ratings yet,True,0,2015
thisissohardtomakeoneup,http://steamcommunity.com/id/thisissohardtomakeoneup,,2014-05-17,,113400,No ratings yet,True,0,2014
76561198087010391,http://steamcommunity.com/profiles/76561198087010391,,2014-08-09,,440,3 of 3 people (100%) found this review helpful,True,1,2014
66666669999999,http://steamcommunity.com/id/66666669999999,,2015-09-26,,200510,No ratings yet,True,2,2015
76561198061174192,http://steamcommunity.com/profiles/76561198061174192,,2015-05-22,,730,2 of 2 people (100%) found this review helpful,True,2,2015
ReMiXOfficalSteam,http://steamcommunity.com/id/ReMiXOfficalSteam,524 people found this review funny,2015-08-22,,383080,424 of 470 people (90%) found this review helpful,True,1,2015
76561198084390807,http://steamcommunity.com/profiles/76561198084390807,,2014-04-05,,1250,No ratings yet,True,1,2014
tarjla,http://steamcommunity.com/id/tarjla,4 people found this review funny,2015-12-30,,265610,28 of 41 people (68%) found this review helpful,True,0,2015
deathnz1,http://steamcommunity.com/id/deathnz1,1 person found this review funny,2014-08-01,,264200,4 of 4 people (100%) found this review helpful,True,1,2014
readingthis4noobs,http://steamcommunity.com/id/readingthis4noobs,3 people found this review funny,2015-12-26,,417860,2 of 2 people (100%) found this review helpful,True,0,2015
76561198104393251,http://steamcommunity.com/profiles/76561198104393251,1 person found this review funny,2015-04-14,,333600,2 of 2 people (100%) found this review helpful,True,2,2015
76561198075322986,http://steamcommunity.com/profiles/76561198075322986,1 person found this review funny,2014-12-30,,213670,2 of 2 people (100%) found this review helpful,True,2,2014
redsncrimson,http://steamcommunity.com/id/redsncrimson,1 person found this review funny,2013-12-04,,91310,1 of 1 people (100%) found this review helpful,True,2,2013
H1DD3NT3RR0R,http://steamcommunity.com/id/H1DD3NT3RR0R,1 person found this review funny,2013-12-04,,210770,No ratings yet,True,0,2013
76561198071214618,http://steamcommunity.com/profiles/76561198071214618,12 people found this review funny,2015-11-10,,351640,97 of 102 people (95%) found this review helpful,True,2,2015
76561198071175142,http://steamcommunity.com/profiles/76561198071175142,1 person found this review funny,2012-08-27,,105600,2 of 3 people (67%) found this review helpful,True,2,2012
t8s,http://steamcommunity.com/id/t8s,,2014-02-05,,440,3 of 6 people (50%) found this review helpful,True,2,2014
pikawuu2,http://steamcommunity.com/id/pikawuu2,,2013-01-27,,47870,1 of 3 people (33%) found this review helpful,True,2,2013
Sammeh00,http://steamcommunity.com/id/Sammeh00,,2015-08-25,,383080,0 of 2 people (0%) found this review helpful,True,2,2015
Michaelele,http://steamcommunity.com/id/Michaelele,,2012-08-27,,410,0 of 3 people (0%) found this review helpful,True,2,2012
76561198045754869,http://steamcommunity.com/profiles/76561198045754869,,2014-12-16,,730,No ratings yet,True,2,2014
76561198076098774,http://steamcommunity.com/profiles/76561198076098774,,2014-06-29,Last edited June 26.,253710,1 of 2 people (50%) found this review helpful,False,0,2014
76561198103253374,http://steamcommunity.com/profiles/76561198103253374,3 people found this review funny,2015-04-11,,339280,2 of 5 people (40%) found this review helpful,True,2,2015
76561198048417105,http://steamcommunity.com/profiles/76561198048417105,,2014-03-08,,271290,No ratings yet,True,2,2014
76561198090842891,http://steamcommunity.com/profiles/76561198090842891,,2013-11-16,"Last edited April 12, 2015.",203290,No ratings yet,True,2,2013
76561198055767971,http://steamcommunity.com/profiles/76561198055767971,1 person found this review funny,2015-11-11,,440,No ratings yet,True,1,2015
76561197998052647,http://steamcommunity.com/profiles/76561197998052647,,2014-12-26,,233150,No ratings yet,True,0,2014
adohya343,http://steamcommunity.com/id/adohya343,,2013-01-17,,550,0 of 1 people (0%) found this review helpful,True,0,2013
76561198145436942,http://steamcommunity.com/profiles/76561198145436942,1 person found this review funny,2015-07-17,,730,1 of 1 people (100%) found this review helpful,True,2,2015
jjas01,http://steamcommunity.com/id/jjas01,,2013-12-29,,211820,No ratings yet,True,2,2013
3xotic26,http://steamcommunity.com/id/3xotic26,,2015-05-06,,440,No ratings yet,True,2,2015
3dster,http://steamcommunity.com/id/3dster,,2015-01-26,,224260,No ratings yet,True,2,2015
76561198079990063,http://steamcommunity.com/profiles/76561198079990063,,2014-11-16,,317360,No ratings yet,True,2,2014
Forty-Nine,http://steamcommunity.com/id/Forty-Nine,,2014-08-17,,295550,No ratings yet,True,2,2014
76561198051017916,http://steamcommunity.com/profiles/76561198051017916,,2014-07-21,,250180,No ratings yet,True,1,2014
L4M1NAS,http://steamcommunity.com/id/L4M1NAS,,2014-07-19,,227940,No ratings yet,True,1,2014
76561198096766604,http://steamcommunity.com/profiles/76561198096766604,,2014-02-08,,17520,No ratings yet,True,2,2014
76561197995322437,http://steamcommunity.com/profiles/76561197995322437,,2014-01-07,,113420,No ratings yet,True,2,2014
imsojipper,http://steamcommunity.com/id/imsojipper,2 people found this review funny,2015-07-06,,320760,4 of 6 people (67%) found this review helpful,True,0,2015
76561198084542731,http://steamcommunity.com/profiles/76561198084542731,,2015-09-06,,8850,1 of 1 people (100%) found this review helpful,True,2,2015
76561198103671881,http://steamcommunity.com/profiles/76561198103671881,,2014-04-24,,233720,1 of 1 people (100%) found this review helpful,True,0,2014
mrpfresh,http://steamcommunity.com/id/mrpfresh,1 person found this review funny,2015-07-06,Last edited March 8.,218620,2 of 5 people (40%) found this review helpful,True,0,2015
GamerFag,http://steamcommunity.com/id/GamerFag,,2015-01-27,"Last edited July 24, 2015.",730,0 of 1 people (0%) found this review helpful,True,2,2015
EHS-R3AP3R,http://steamcommunity.com/id/EHS-R3AP3R,,2015-01-25,,219740,No ratings yet,True,2,2015
chidori_647,http://steamcommunity.com/id/chidori_647,,2014-05-24,,220240,No ratings yet,True,2,2014
76561198092227136,http://steamcommunity.com/profiles/76561198092227136,,2012-10-20,"Last edited April 24, 2014.",440,No ratings yet,True,2,2012
hellcat59,http://steamcommunity.com/id/hellcat59,,2014-03-28,,4000,1 of 1 people (100%) found this review helpful,True,2,2014
76561198007584361,http://steamcommunity.com/profiles/76561198007584361,,2014-07-09,,304930,No ratings yet,True,2,2014
tbimperator,http://steamcommunity.com/id/tbimperator,,2015-02-23,,333950,1 of 2 people (50%) found this review helpful,True,0,2015
Allahu_Akbar666,http://steamcommunity.com/id/Allahu_Akbar666,,2015-08-29,,388520,No ratings yet,True,2,2015
ulramite,http://steamcommunity.com/id/ulramite,,2014-11-23,,107410,No ratings yet,True,0,2014
-GM-Dragon,http://steamcommunity.com/id/-GM-Dragon,,2014-09-09,,206210,No ratings yet,True,1,2014
76561198054040292,http://steamcommunity.com/profiles/76561198054040292,,2015-03-26,,221100,3 of 6 people (50%) found this review helpful,True,2,2015
I_DID_911_JUST_SAYING,http://steamcommunity.com/id/I_DID_911_JUST_SAYING,,2015-11-23,,730,No ratings yet,True,0,2015
750805,http://steamcommunity.com/id/750805,,2015-09-14,,440,No ratings yet,True,1,2015
diabeticfuck,http://steamcommunity.com/id/diabeticfuck,,2014-10-13,,209870,3 of 8 people (38%) found this review helpful,True,0,2014
abiam,http://steamcommunity.com/id/abiam,,2015-12-27,,440,1 of 1 people (100%) found this review helpful,True,2,2015
FrankoWalker,http://steamcommunity.com/id/FrankoWalker,,2015-05-13,,730,1 of 1 people (100%) found this review helpful,True,2,2015
LightfootSword7,http://steamcommunity.com/id/LightfootSword7,,2015-12-27,,362890,No ratings yet,True,2,2015
SALTTHEW0UND,http://steamcommunity.com/id/SALTTHEW0UND,,2015-12-21,,413850,No ratings yet,True,1,2015
express157,http://steamcommunity.com/id/express157,,2015-11-15,,730,No ratings yet,True,2,2015
76561198064304806,http://steamcommunity.com/profiles/76561198064304806,1 person found this review funny,2014-06-13,,570,1 of 2 people (50%) found this review helpful,True,2,2014
TomoeMamiewe,http://steamcommunity.com/id/TomoeMamiewe,1 person found this review funny,2015-03-13,"Last edited March 19, 2015.",311560,6 of 10 people (60%) found this review helpful,True,2,2015
76561198057086148,http://steamcommunity.com/profiles/76561198057086148,,2015-01-07,,322170,No ratings yet,True,2,2015
Acidius99,http://steamcommunity.com/id/Acidius99,,2014-01-02,,48240,4 of 4 people (100%) found this review helpful,False,0,2014
acorn13,http://steamcommunity.com/id/acorn13,,2015-11-18,,440,1 of 1 people (100%) found this review helpful,True,2,2015
adamcookie,http://steamcommunity.com/id/adamcookie,,2014-06-01,,248570,1 of 1 people (100%) found this review helpful,True,0,2014
AddzyTheBaddzy,http://steamcommunity.com/id/AddzyTheBaddzy,,2014-03-18,,264140,1 of 1 people (100%) found this review helpful,True,0,2014
mrfunkyjunkie,http://steamcommunity.com/id/mrfunkyjunkie,,2014-02-16,,4000,1 of 1 people (100%) found this review helpful,True,0,2014
mradobe7,http://steamcommunity.com/id/mradobe7,,2015-02-25,,266430,1 of 2 people (50%) found this review helpful,True,2,2015
76561198167207237,http://steamcommunity.com/profiles/76561198167207237,,2015-08-15,,316010,2 of 5 people (40%) found this review helpful,True,2,2015
cancerkek,http://steamcommunity.com/id/cancerkek,,2014-12-25,,249570,1 of 3 people (33%) found this review helpful,True,0,2014
76561198074323290,http://steamcommunity.com/profiles/76561198074323290,,2014-12-16,,240,No ratings yet,True,0,2014
76561198090899557,http://steamcommunity.com/profiles/76561198090899557,,2015-08-14,,304930,No ratings yet,True,1,2015
advenger95,http://steamcommunity.com/id/advenger95,,2014-11-11,,440,No ratings yet,True,1,2014
76561198070263209,http://steamcommunity.com/profiles/76561198070263209,,2015-03-01,,264200,No ratings yet,True,2,2015
76561198015968275,http://steamcommunity.com/profiles/76561198015968275,,2014-11-27,,440,No ratings yet,True,2,2014
76561198082614708,http://steamcommunity.com/profiles/76561198082614708,,2015-11-20,,383080,1 of 1 people (100%) found this review helpful,True,2,2015
UnholyFallenAngel,http://steamcommunity.com/id/UnholyFallenAngel,,2014-08-23,,301520,1 of 2 people (50%) found this review helpful,True,2,2014
76561198068565589,http://steamcommunity.com/profiles/76561198068565589,,2014-06-17,"Last edited June 17, 2014.",243870,3 of 6 people (50%) found this review helpful,True,2,2014
SlutOnTheSpit,http://steamcommunity.com/id/SlutOnTheSpit,,2014-07-10,"Last edited July 10, 2014.",218230,1 of 5 people (20%) found this review helpful,False,2,2014
NaruseAiria,http://steamcommunity.com/id/NaruseAiria,1 person found this review funny,2015-06-15,,251570,9 of 12 people (75%) found this review helpful,True,2,2015
